Country;Age_Group;Gender;EmploymentType;JobType;InformalWorker;Informal_Work_Type;OtherJob;JobLoss;JobRegain;MonthlyIncome;MonthlyIncome Bracket;IncomeChange;ExpenseResponsibility;LengthSurvival;MoneyForExpenses;ConcernExpenses;Expense_Concern_Rating;MonthlyNeed;TopPriority;LowPriority;Aid;AidSource_Aid_Organisations;AidSource_Charities_Donations;AidSource_Friends_family;AidSource_Government;AidSource_Not sure;AidSource_Other;AidSource_Religious_Organizations;COVIDLoans;MobileMoneyActivity;MobileMoneyDeposit;GovernmentPriority;;
Ivory Coast (Cote D'Ivoire);15-25;Male;Student;N/A;;N/A;N/A;N/A;N/A;N/A;;N/A;No;N/A;N/A;N/A;N/A;N/A;Rent;Home Loan;No;N/A;N/A;N/A;N/A;N/A;N/A;N/A;No;Decreased;Yes;Protecting people from COVID-19;;
Ivory Coast (Cote D'Ivoire);15-25;Female;Self-employed;N/A;Yes;Hair/Skin/Nail services;Ongles;Yes;Yes;0-150000;1;Decreased a lot;No;N/A;N/A;N/A;N/A;N/A;N/A;N/A;No;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Yes;Don’t know;Yes;Reopening the economy;;
Ivory Coast (Cote D'Ivoire);36+;Male;Other;N/A;;N/A;Vigile;No-I’m still able to work;N/A;0-150000;1;Decreased a bit;Yes;< a month;Other;No change;5;150001 - 300000;Food;Vehicle Loan;No;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Yes;Stayed the same;No;Protecting people from COVID-19;;
Ivory Coast (Cote D'Ivoire);26-35;Female;Self-employed;N/A;Yes;Hair/Skin/Nail services;Coiffeuse;Yes;Yes;150001- 300000;2;Decreased a lot;Yes;2-4 months;Savings;More concerned;3;150001 - 300000;Rent;Vehicle Loan;No;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Yes;Increased;Yes;Reopening the economy;;
Ivory Coast (Cote D'Ivoire);15-25;Male;Other;N/A;;N/A;eleve;No-I’m still able to work;N/A;0-150000;1;No change;Yes;Don’t know;Savings;No change;1;150001 - 300000;Food;Rent;No;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Yes;Stayed the same;No;Protecting people from COVID-19;;
Ivory Coast (Cote D'Ivoire);15-25;Female;Unemployed;N/A;;N/A;N/A;N/A;N/A;N/A;;N/A;Yes;< a month;Loan/ Credit;More concerned;5;0-150000;Food;School fees;No;N/A;N/A;N/A;N/A;N/A;N/A;N/A;No;Decreased;No;Protecting people from COVID-19;;
Ivory Coast (Cote D'Ivoire);26-35;Female;Unemployed;N/A;;N/A;N/A;N/A;N/A;N/A;;N/A;Yes;Don’t know;Other;More concerned;1;500001 - 1000000;Other;Food;No;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Yes;Stayed the same;Yes;Protecting people from COVID-19;;
Ivory Coast (Cote D'Ivoire);36+;Male;Self-employed;N/A;Yes;Agriculture;La comptablité.;No-I’m still able to work;N/A;0-150000;1;No change;Yes;2-4 months;Other;Less concerned;5;0-150000;Food|Vehicle Loan;Food|School fees;No;N/A;N/A;N/A;N/A;N/A;N/A;N/A;No;Decreased;Yes;Reopening the economy;;
Ivory Coast (Cote D'Ivoire);15-25;Female;Student;N/A;;N/A;N/A;N/A;N/A;N/A;;N/A;Yes;< a month;Savings;More concerned;5;150001 - 300000;Food;Home Loan;No;N/A;N/A;N/A;N/A;N/A;N/A;N/A;No;Increased;No;Reopening the economy;;
Ivory Coast (Cote D'Ivoire);15-25;Male;Student;N/A;;N/A;N/A;N/A;N/A;N/A;;N/A;Yes;5+ months;Loan/ Credit;More concerned;5;0-150000;Food;School fees;No;N/A;N/A;N/A;N/A;N/A;N/A;N/A;No;Decreased;No;Protecting people from COVID-19;;
Ivory Coast (Cote D'Ivoire);26-35;Female;Self-employed;N/A;Yes;Seller;Vendeuse;Yes;Don't know;0-150000;1;Decreased a lot;Yes;Don’t know;Loan/ Credit;No change;1;0-150000;Food;Credit card;No;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Yes;Decreased;Yes;Reopening the economy;;
Ivory Coast (Cote D'Ivoire);15-25;Female;Student;N/A;;N/A;N/A;N/A;N/A;N/A;;N/A;Yes;1 month;Other;More concerned;1;0-150000;School fees;Food;No;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Yes;Decreased;Yes;Reopening the economy;;
Ivory Coast (Cote D'Ivoire);26-35;Female;Unemployed;N/A;;N/A;N/A;N/A;N/A;N/A;;N/A;Yes;< a month;Loan/ Credit;Less concerned;5;0-150000;Food;Rent;No;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Yes;Decreased;Yes;Reopening the economy;;
Ivory Coast (Cote D'Ivoire);26-35;Female;Employed part time;Other;Yes;Construction/mechanic/electrician;technicien superieur en batiment;Yes;No;150001- 300000;2;Decreased a lot;No;N/A;N/A;N/A;N/A;N/A;N/A;N/A;No;N/A;N/A;N/A;N/A;N/A;N/A;N/A;No;Decreased;No;Other;;
Ivory Coast (Cote D'Ivoire);26-35;Female;Employed full time;Small business owner/employee;Yes;Agriculture;caissière;Yes;Yes;0-150000;1;Decreased a lot;Yes;1 month;Savings;Less concerned;5;0-150000;Food|Home Loan;Credit card|Medical account;No;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Yes;Increased;Yes;Protecting people from COVID-19;;
Ivory Coast (Cote D'Ivoire);36+;Male;Self-employed;N/A;Yes;Seller;Vendeur;Yes;Don't know;0-150000;1;Decreased a lot;Yes;Don’t know;Loan/ Credit;More concerned;5;0-150000;Rent;Other;No;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Yes;Decreased;No;Protecting people from COVID-19;;
Ivory Coast (Cote D'Ivoire);26-35;Male;Self-employed;N/A;Yes;Other;"Pasteur""Jésus est Seigneur""   PASTEUR CHRIST";Yes;Yes;150001- 300000;2;Decreased a bit;Yes;1 month;Loan/ Credit;More concerned;3;0-150000;Food;Credit card;No;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Yes;Decreased;Yes;Protecting people from COVID-19;;
Ivory Coast (Cote D'Ivoire);26-35;Female;Employed part time;Other;Yes;Seller;Commerce;Yes;Don't know;0-150000;1;Decreased a lot;Yes;< a month;Other;More concerned;5;0-150000;Food;Other;No;N/A;N/A;N/A;N/A;N/A;N/A;N/A;No;Decreased;Yes;Reopening the economy;;
Ivory Coast (Cote D'Ivoire);26-35;Female;Unemployed;N/A;;N/A;N/A;N/A;N/A;N/A;;N/A;Yes;< a month;Loan/ Credit;More concerned;5;300001 - 500000;Home Loan;Medical account;No;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Yes;Increased;Yes;Reopening the economy;;
Ivory Coast (Cote D'Ivoire);15-25;Female;Student;N/A;;N/A;N/A;N/A;N/A;N/A;;N/A;Yes;Don’t know;Loan/ Credit;Less concerned;5;500001 - 1000000;Food;Rent;No;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Yes;Decreased;No;Protecting people from COVID-19;;
Ivory Coast (Cote D'Ivoire);26-35;Male;Unemployed;N/A;;N/A;N/A;N/A;N/A;N/A;;N/A;Yes;1 month;Savings;More concerned;1;0-150000;Medical account;Food;No;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Yes;Don’t know;No;Protecting people from COVID-19;;
Ivory Coast (Cote D'Ivoire);26-35;Male;Student;N/A;;N/A;N/A;N/A;N/A;N/A;;N/A;Yes;< a month;Loan/ Credit;More concerned;3;0-150000;Food;Rent;No;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Yes;Decreased;Yes;Reopening the economy;;
Ivory Coast (Cote D'Ivoire);26-35;Female;Employed full time;Educator;No;N/A;N/A;No-I’m still able to work;N/A;0-150000;1;Decreased a bit;Yes;< a month;Loan/ Credit;More concerned;2;0-150000;Medical account;Other;No;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Yes;Decreased;Yes;Other;;
Ivory Coast (Cote D'Ivoire);36+;Male;Self-employed;N/A;Yes;Seller;Ouvrier;Yes;Yes;0-150000;1;Decreased a lot;Yes;< a month;Loan/ Credit;Less concerned;2;0-150000;Rent|School fees;Home Loan|School fees;No;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Yes;Decreased;Yes;Protecting people from COVID-19;;
Ivory Coast (Cote D'Ivoire);26-35;Female;Employed full time;Educator;No;N/A;N/A;Yes;Yes;0-150000;1;No change;No;N/A;N/A;N/A;N/A;N/A;N/A;N/A;No;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Yes;Stayed the same;No;Protecting people from COVID-19;;
Ivory Coast (Cote D'Ivoire);26-35;Female;Other;N/A;Yes;Seller;La vente;Yes;Don't know;0-150000;1;Decreased a lot;Yes;Don’t know;Loan/ Credit;More concerned;5;0-150000;Rent;Other;No;N/A;N/A;N/A;N/A;N/A;N/A;N/A;No;Don’t know;Yes;Reopening the economy;;
Ivory Coast (Cote D'Ivoire);15-25;Male;Unemployed;N/A;;N/A;N/A;N/A;N/A;N/A;;N/A;Yes;< a month;Salary/income;More concerned;5;0-150000;Food;Vehicle Loan;No;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Yes;Decreased;Yes;Reopening the economy;;
Ivory Coast (Cote D'Ivoire);26-35;Female;Employed full time;Small business owner/employee;Yes;Seller;Agent de mobile money;Yes;Don't know;150001- 300000;2;Decreased a bit;Yes;< a month;Loan/ Credit;No change;5;150001 - 300000;Rent;School fees;No;N/A;N/A;N/A;N/A;N/A;N/A;N/A;No;Decreased;Yes;Protecting people from COVID-19;;
Ivory Coast (Cote D'Ivoire);36+;Male;Employed part time;Small business owner/employee;Yes;Transportation;Rien;Yes;No;0-150000;1;Decreased a lot;Yes;Don’t know;Salary/income;More concerned;5;0-150000;Food;Rent;No;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Yes;Decreased;No;Protecting people from COVID-19;;
Ivory Coast (Cote D'Ivoire);36+;Female;Unemployed;N/A;;N/A;N/A;N/A;N/A;N/A;;N/A;Yes;Don’t know;Salary/income;Less concerned;3;0-150000;Food|Home Loan|Rent;Medical account|Rent;No;N/A;N/A;N/A;N/A;N/A;N/A;N/A;No;Stayed the same;Yes;Protecting people from COVID-19;;
Ivory Coast (Cote D'Ivoire);15-25;Female;Employed part time;Small business owner/employee;Yes;Food service;Réparateur;Yes;Yes;0-150000;1;Decreased a bit;Yes;2-4 months;Savings;Less concerned;1;300001 - 500000;Food;Rent;No;N/A;N/A;N/A;N/A;N/A;N/A;N/A;No;Decreased;No;Reopening the economy;;
Ivory Coast (Cote D'Ivoire);36+;Male;Unemployed;N/A;;N/A;N/A;N/A;N/A;N/A;;N/A;Yes;Don’t know;Other;More concerned;5;150001 - 300000;Food;Vehicle Loan;No;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Yes;Don’t know;No;Protecting people from COVID-19;;
Ivory Coast (Cote D'Ivoire);26-35;Female;Employed part time;Healthcare;No;N/A;N/A;No-I’m still able to work;N/A;0-150000;1;Decreased a lot;Yes;1 month;Loan/ Credit;Less concerned;5;0-150000;Food;Rent;No;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Yes;Decreased;No;Protecting people from COVID-19;;
Ivory Coast (Cote D'Ivoire);15-25;Male;Self-employed;N/A;Yes;Cleaner;vendeur de garba;Yes;Don't know;300001 - 500000;3;Decreased a lot;Yes;1 month;Loan/ Credit;Less concerned;5;Over 1000000;Food;School fees;No;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Yes;Decreased;Yes;Other;;
Ivory Coast (Cote D'Ivoire);36+;Male;Employed full time;Large business;No;N/A;N/A;No-I’m still able to work;N/A;500001 - 1000000;4;No change;Yes;1 month;Salary/income;More concerned;4;300001 - 500000;Food;School fees;No;N/A;N/A;N/A;N/A;N/A;N/A;N/A;No;Don’t know;Yes;Protecting people from COVID-19;;
Ivory Coast (Cote D'Ivoire);26-35;Female;Employed part time;Healthcare;No;N/A;N/A;Yes;Don't know;0-150000;1;Decreased a lot;No;N/A;N/A;N/A;N/A;N/A;N/A;N/A;No;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Yes;Decreased;No;Reopening the economy;;
Ivory Coast (Cote D'Ivoire);15-25;Male;Student;N/A;;N/A;N/A;N/A;N/A;N/A;;N/A;No;N/A;N/A;N/A;N/A;N/A;N/A;N/A;No;N/A;N/A;N/A;N/A;N/A;N/A;N/A;No;Decreased;Yes;Protecting people from COVID-19;;
Ivory Coast (Cote D'Ivoire);15-25;Male;Student;N/A;;N/A;N/A;N/A;N/A;N/A;;N/A;Yes;< a month;Savings;Less concerned;5;300001 - 500000;Food;Vehicle Loan;No;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Yes;Stayed the same;Yes;Protecting people from COVID-19;;
Ivory Coast (Cote D'Ivoire);36+;Male;Unemployed;N/A;;N/A;N/A;N/A;N/A;N/A;;N/A;Yes;Don’t know;Other;More concerned;5;150001 - 300000;Food;Vehicle Loan;No;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Yes;Don’t know;No;Protecting people from COVID-19;;
